iter	Passed	Remaining
0	500	149610
1	777	115870
2	1058	104810
3	1332	98609
4	1642	96885
5	1899	93061
6	2157	90319
7	2414	88132
8	2674	86488
9	2942	85343
10	3217	84532
11	3473	83364
12	3723	82196
13	3972	81156
14	4229	80353
15	4478	79491
16	4738	78889
17	5002	78377
18	5276	78035
19	5588	78243
20	5855	77791
21	6144	77639
22	6401	77101
23	6649	76467
24	6901	75916
25	7152	75377
26	7407	74897
27	7664	74455
28	7915	73969
29	8166	73501
30	8417	73040
31	8669	72607
32	8921	72181
33	9176	71795
34	9437	71452
35	9693	71085
36	10011	71165
37	10326	71197
38	10624	71100
39	10882	70735
40	11173	70585
41	11485	70554
42	11856	70864
43	12249	71267
44	12584	71314
45	12877	71106
46	13163	70859
47	13431	70515
48	13686	70110
49	13964	69821
50	14246	69558
51	14546	69374
52	14849	69205
53	15135	68950
54	15437	68764
55	15711	68457
56	15994	68185
57	16263	67858
58	16561	67648
59	16810	67240
60	17065	66863
61	17351	66606
62	17607	66238
63	17889	65966
64	18156	65642
65	18441	65383
66	18714	65083
67	18964	64702
68	19224	64361
69	19490	64039
70	19755	63719
71	20029	63426
72	20327	63211
73	20641	63041
74	20902	62708
75	21226	62563
76	21498	62261
77	21757	61924
78	22014	61584
79	22365	61504
80	22615	61146
81	22867	60794
82	23129	60471
83	23385	60135
84	23641	59800
85	23894	59459
86	24149	59124
87	24399	58781
88	24655	58453
89	24909	58122
90	25166	57799
91	25423	57479
92	25683	57167
93	25934	56835
94	26188	56511
95	26440	56186
96	26698	55874
97	26965	55581
98	27237	55300
99	27496	54992
100	27750	54675
101	28002	54357
102	28255	54041
103	28512	53734
104	28765	53421
105	29028	53127
106	29289	52831
107	29548	52531
108	29808	52233
109	30066	51932
110	30321	51628
111	30626	51408
112	30876	51096
113	31190	50890
114	31440	50578
115	31701	50284
116	31960	49989
117	32221	49698
118	32475	49395
119	32731	49096
120	32992	48806
121	33247	48508
122	33507	48217
123	33762	47921
124	34016	47623
125	34269	47324
126	34521	47025
127	34779	46735
128	35030	46435
129	35298	46159
130	35568	45885
131	35845	45621
132	36121	45355
133	36390	45080
134	36660	44807
135	36931	44535
136	37202	44262
137	37474	43991
138	37745	43720
139	38012	43442
140	38294	43183
141	38577	42924
142	38852	42656
143	39128	42388
144	39434	42153
145	39738	41916
146	40014	41647
147	40339	41429
148	40692	41238
149	40985	40985
150	41258	40711
151	41527	40434
152	41803	40163
153	42072	39887
154	42338	39607
155	42611	39333
156	42879	39055
157	43154	38784
158	43426	38509
159	43695	38233
160	43972	37963
161	44268	37710
162	44559	37452
163	44841	37185
164	45111	36909
165	45378	36631
166	45648	36354
167	45918	36079
168	46188	35802
169	46455	35524
170	46723	35247
171	46990	34969
172	47258	34692
173	47528	34417
174	47794	34138
175	48064	33863
176	48334	33588
177	48603	33312
178	48873	33037
179	49143	32762
180	49407	32483
181	49676	32207
182	49946	31932
183	50210	31654
184	50480	31379
185	50759	31110
186	51038	30841
187	51306	30565
188	51570	30287
189	51838	30012
190	52112	29739
191	52379	29463
192	52645	29186
193	52917	28913
194	53184	28637
195	53453	28362
196	53722	28088
197	53988	27812
198	54258	27538
199	54528	27264
200	54796	26989
201	55064	26714
202	55329	26438
203	55598	26163
204	55862	25887
205	56123	25609
206	56381	25330
207	56640	25052
208	56902	24775
209	57166	24499
210	57428	24223
211	57692	23947
212	57955	23671
213	58214	23394
214	58482	23121
215	58752	22848
216	59014	22572
217	59278	22297
218	59550	22025
219	59815	21751
220	60076	21475
221	60339	21200
222	60605	20926
223	60873	20653
224	61137	20379
225	61412	20108
226	61691	19839
227	61966	19568
228	62230	19294
229	62493	19019
230	62752	18744
231	63016	18470
232	63281	18196
233	63546	17923
234	63811	17649
235	64078	17377
236	64351	17106
237	64614	16832
238	64884	16560
239	65171	16292
240	65447	16022
241	65711	15748
242	65977	15476
243	66245	15203
244	66507	14930
245	66762	14655
246	67025	14381
247	67291	14109
248	67552	13835
249	67817	13563
250	68078	13290
251	68338	13016
252	68619	12747
253	68895	12477
254	69165	12205
255	69429	11933
256	69691	11660
257	69956	11388
258	70220	11115
259	70482	10843
260	70742	10570
261	71015	10299
262	71282	10028
263	71565	9758
264	71855	9490
265	72140	9221
266	72407	8949
267	72674	8677
268	72943	8406
269	73207	8134
270	73473	7862
271	73740	7590
272	74011	7319
273	74286	7049
274	74575	6779
275	74844	6508
276	75114	6236
277	75387	5965
278	75664	5695
279	75933	5423
280	76202	5152
281	76472	4881
282	76741	4609
283	77009	4338
284	77274	4067
285	77542	3795
286	77807	3524
287	78077	3253
288	78340	2981
289	78608	2710
290	78873	2439
291	79137	2168
292	79416	1897
293	79679	1626
294	79950	1355
295	80221	1084
296	80484	812
297	80753	541
298	81021	270
299	81285	0
